Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions (kt),EN.ATM.CO2E.KT,Czechia,CZE,150200,119989.99786377,120599.998474121,123620.002746582,118309.997558594,111169.998168945,112250,109169.998168945,106069.999694824,101150.001525879,97510.0021362305,99139.9993896484,101730.003356934,101830.001831055,100900.001525879,96290.0009155273,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Denmark,DNK,52090,50200.0007629395,58130.0010681152,53409.9998474121,50130.0010681152,47930.0003051758,48119.9989318848,43099.9984741211,38220.0012207031,39959.9990844727,35819.9996948242,33700.0007629395,35319.9996948242,33130.0010681152,33130.0010681152,29700.0007629395,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Djibouti,DJI,270,430.000007152557,430.000007152557,469.999998807907,469.999998807907,469.999998807907,519.999980926514,479.999989271164,500,560.000002384186,400.000005960464,460.00000834465,419.999986886978,419.999986886978,400.000005960464,419.999986886978,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominica,DMA,60,159.999996423721,170.000001788139,180.000007152557,180.000007152557,500,180.000007152557,180.000007152557,250,170.000001788139,180.000007152557,180.000007152557,180.000007152557,170.000001788139,170.000001788139,170.000001788139,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominican Republic,DOM,7860,18690.0005340576,20370.0008392334,20629.9991607666,20579.9999237061,19659.9998474121,20680.0003051758,20909.9998474121,21680.0003051758,21290.0009155273,21450.0007629395,23590.0001525879,24590.0001525879,23549.9992370605,25309.9994659424,27229.9995422363,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Ecuador,ECU,15420,28219.9993133545,30129.9991607666,30639.9993896484,31690.0005340576,34500,37250,37099.9984741211,37090.0001525879,39700.0007629395,41799.9992370605,41520.0004577637,39810.001373291,38549.9992370605,40139.9993896484,39290.0009155273,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Egypt, Arab Rep.",EGY,87750,162220.001220703,170750,183399.993896484,189940.002441406,197660.003662109,200309.997558594,205770.004272461,215000,213860.000610352,219119.995117188,226279.998779297,231229.995727539,242229.995727539,247910.003662109,249369.995117188,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,El Salvador,SLV,2380,6840.00015258789,7239.99977111816,7630.00011444092,6909.99984741211,6679.99982833862,6539.99996185303,6780.00020980835,6769.99998092651,6460.00003814697,6590.00015258789,7000,7170.00007629395,6380.00011444092,6809.99994277954,7800.00019073486,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Equatorial Guinea,GNQ,60,8319.99969482422,9369.99988555908,8539.99996185303,9779.99973297119,9710.00003814697,9949.99980926514,9989.99977111816,9819.99969482422,9180.00030517578,7909.99984741211,6570.00017166138,6659.99984741211,5800.00019073486,6429.99982833862,5349.99990463257,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Eritrea,ERI,..,600.000023841858,519.999980926514,509.999990463257,449.999988079071,469.999998807907,500,569.999992847443,620.000004768372,639.999985694885,649.999976158142,649.999976158142,660.000026226044,720.000028610229,850.000023841858,879.999995231628,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Estonia,EST,35280,17229.9995422363,15979.9995422363,19979.9995422363,18399.9996185303,15050.0001907349,19000,18170.0000762939,16889.9993896484,19319.9996948242,17940.0005340576,15539.999961853,15989.9997711182,16709.9990844727,15319.9996948242,10180.0003051758,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Eswatini,SWZ,560,660.000026226044,649.999976158142,660.000026226044,629.999995231628,699.999988079071,649.999976158142,660.000026226044,680.000007152557,750,750,769.999980926514,839.999973773956,889.999985694885,910.000026226044,959.999978542328,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Ethiopia,ETH,2310,5050.00019073486,5400.00009536743,5960.00003814697,6489.99977111816,6530.00020980835,6469.99979019165,7539.99996185303,8479.99954223633,10079.9999237061,12340.0001525879,12890.0003433228,14970.0002670288,15819.9996948242,17239.9997711182,18360.0006103516,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Fiji,FJI,690,1289.99996185303,1379.99999523163,1259.99999046326,970.000028610229,970.000028610229,1159.9999666214,1110.00001430511,1029.99997138977,1129.99999523163,1289.99996185303,1379.99999523163,1519.99998092651,1649.99997615814,1629.99999523163,1629.99999523163,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Finland,FIN,54560,55459.9990844727,67019.9966430664,65099.9984741211,56659.9998474121,54180.0003051758,62529.9987792969,55119.9989318848,49409.9998474121,50189.998626709,46159.9998474121,42819.9996948242,45700.0007629395,43020.0004577637,44580.0018310547,40709.9990844727,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,France,FRA,356240,380660.003662109,371549.987792969,362829.986572266,357989.990234375,343730.010986328,347779.998779297,335140.014648438,338420.013427734,338559.997558594,306100.006103516,311299.987792969,313920.013427734,317829.986572266,307049.987792969,300519.989013672,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Gabon,GAB,4100,6059.99994277954,5440.00005722046,4940.00005722046,5269.99998092651,5199.99980926514,5760.00022888184,5780.00020980835,5599.99990463257,5789.99996185303,5960.00003814697,6119.99988555908,6420.00007629395,5329.99992370605,5119.99988555908,5250,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Gambia, The",GMB,190,330.000013113022,360.000014305115,409.999996423721,430.000007152557,490.000009536743,439.999997615814,449.999988079071,460.00000834465,439.999997615814,519.999980926514,529.999971389771,529.999971389771,540.000021457672,550.000011920929,579.999983310699,..,..
