Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,23131940280.7316
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,2496134680.31694
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,3509000000
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,42817472975.3677
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,66445256585.3671
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,85506243833.7816
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,30123914808.5691
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,14472603322.5571
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,12626717491.8941
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,372980957208.023
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,5405576235.79462
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,19140461605.8227
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,17364044943.8202
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,259538700
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,9996249658.23982
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,11529042672.3528
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1272839334119.3
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,404028900
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,13679221333.2052
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,8596096984.03312
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,15286441818.1437
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,5861268038.7982
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,142866329198.42
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,15776758632.8573
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,65091751273.2879
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,12310595843.9353
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,133218896.932607
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,36288830373.4106
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,1012846760976.73
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,10071351960.0477
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,249885687029.634
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,14013022092.0645
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,14915001426.9724
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,440833583992.485
GDP (current US$),NY.GDP.MKTP.CD,North Macedonia,MKD,13825049831.7959
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,..
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,482174854481.956
GDP (current US$),NY.GDP.MKTP.CD,Oman,OMN,88191977373.212
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,348262544719.178
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,217800000
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,63605100000
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,26594305745.554
GDP (current US$),NY.GDP.MKTP.CD,Paraguay,PRY,39495431574.1782
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,223249497500.387
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,394086401171.168
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,679444832854.295
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,253663144586.019
GDP (current US$),NY.GDP.MKTP.CD,Puerto Rico,PRI,106525700000
GDP (current US$),NY.GDP.MKTP.CD,Qatar,QAT,179677211793.938
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROU,284087563695.798
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1778782625793.74
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,11070356519.4804
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,843842416.462442
GDP (current US$),NY.GDP.MKTP.CD,San Marino,SMR,..
GDP (current US$),NY.GDP.MKTP.CD,Sao Tome and Principe,STP,526653790.670814
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,833541236569.315
GDP (current US$),NY.GDP.MKTP.CD,Senegal,SEN,27625388352.1688
GDP (current US$),NY.GDP.MKTP.CD,Serbia,SRB,63082047649.8528
GDP (current US$),NY.GDP.MKTP.CD,Seychelles,SYC,1454458183.85981
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,4042237864.28942
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,396986899888.351
GDP (current US$),NY.GDP.MKTP.CD,Sint Maarten (Dutch part),SXM,..
GDP (current US$),NY.GDP.MKTP.CD,Slovak Republic,SVK,116527101097.7
GDP (current US$),NY.GDP.MKTP.CD,Slovenia,SVN,61748586534.8672
GDP (current US$),NY.GDP.MKTP.CD,Solomon Islands,SLB,1631486531.92364
GDP (current US$),NY.GDP.MKTP.CD,Somalia,SOM,7628000011.46184
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,419015018371.887
GDP (current US$),NY.GDP.MKTP.CD,South Sudan,SSD,..
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,1427380681294.55
GDP (current US$),NY.GDP.MKTP.CD,Sri Lanka,LKA,88927263724.8592
GDP (current US$),NY.GDP.MKTP.CD,St. Kitts and Nevis,KNA,860840740.740741
GDP (current US$),NY.GDP.MKTP.CD,St. Lucia,LCA,1691275156.6002
GDP (current US$),NY.GDP.MKTP.CD,St. Martin (French part),MAF,..
GDP (current US$),NY.GDP.MKTP.CD,St. Vincent and the Grenadines,VCT,904181492.766708
GDP (current US$),NY.GDP.MKTP.CD,Sudan,SDN,34326058557.4418
GDP (current US$),NY.GDP.MKTP.CD,Suriname,SUR,2984706243.65482
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,635663801201.765
GDP (current US$),NY.GDP.MKTP.CD,Switzerland,CHE,800640155387.26
GDP (current US$),NY.GDP.MKTP.CD,Syrian Arab Republic,SYR,..
GDP (current US$),NY.GDP.MKTP.CD,Tajikistan,TJK,8746270636.40142
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,67841049193.3855
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,505947037098.424
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TLS,3621222382.15929
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,8413200567.6151
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,469231309.539488
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,24460196270.6866
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,46686741814.278
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,819035182929.585
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,..
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,943269800
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,63100961.5384615
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,40529789025.5702
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,200085537744.354
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,415021590683.006
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,3131377762925.95
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,23315080560000
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,59319484710.6527
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,69238903106.1738
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,956332655.718234
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,..
GDP (current US$),NY.GDP.MKTP.CD,Vietnam,VNM,366137590600.699
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,..
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,18036800000
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,22147634727.3584
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,28371238665.5116
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/30/2023,,,,
