Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Jordan,JOR,23391830985.9155
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Kazakhstan,KAZ,47301125713.9167
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Kenya,KEN,22179806763.5494
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Kiribati,KIR,198317307.692308
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Korea, Dem. People's Rep.",PRK,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Korea, Rep.",KOR,696436487239.089
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Kosovo,XKX,6139399172.08752
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Kuwait,KWT,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Kyrgyz Republic,KGZ,5901762506.97063
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Lao PDR,LAO,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Latvia,LVA,26660217928.3949
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Lebanon,LBN,12214357413.8579
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Lesotho,LSO,2219645814.5845
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Liberia,LBR,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Libya,LBY,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Liechtenstein,LIE,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Lithuania,LTU,50480361763.3713
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Luxembourg,LUX,151078418080.614
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Macao SAR, China",MAC,22888639060.6458
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Madagascar,MDG,4254240706.56493
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Malawi,MWI,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Malaysia,MYS,230244491106.123
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Maldives,MDV,3664287991.04907
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Mali,MLI,7697809646.42715
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Malta,MLT,23777173270.2543
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Marshall Islands,MHL,180726989.746094
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Mauritania,MRT,6091771307.6729
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Mauritius,MUS,6196761496.78236
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Mexico,MEX,541756067461.179
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Micronesia, Fed. Sts.",FSM,281500000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Moldova,MDA,7932925988.32951
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Monaco,MCO,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Mongolia,MNG,9255820443.39068
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Montenegro,MNE,3645453039.98107
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Morocco,MAR,60032485954.2749
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Mozambique,MOZ,10859636828.8398
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Myanmar,MMR,16151247726.7737
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Namibia,NAM,5907894998.37604
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Nauru,NRU,141801626.987089
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Nepal,NPL,14008213483.7322
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Netherlands,NLD,736543248918.593
Imports of goods and services (current US$),NE.IMP.GNFS.CD,New Caledonia,NCL,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,New Zealand,NZL,66382798132.692
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Nicaragua,NIC,8322737482.58508
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Niger,NER,4060936441.57122
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Nigeria,NGA,52186247815.2417
Imports of goods and services (current US$),NE.IMP.GNFS.CD,North Macedonia,MKD,11371684493.9387
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Northern Mariana Islands,MNP,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Norway,NOR,141350523864.959
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Oman,OMN,36502257477.2432
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Pakistan,PAK,62659184458.8169
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Palau,PLW,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Panama,PAN,26481419000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Papua New Guinea,PNG,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Paraguay,PRY,13752425568.6241
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Peru,PER,58979023862.2893
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Philippines,PHL,148804215459.611
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Poland,POL,370534710893.602
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Portugal,PRT,113075261675.335
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Puerto Rico,PRI,45058700000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Qatar,QAT,61326923076.9231
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Romania,ROU,132127103163.157
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Russian Federation,RUS,379077664168.962
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Rwanda,RWA,3851166792.49802
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Samoa,WSM,415233354.56646
Imports of goods and services (current US$),NE.IMP.GNFS.CD,San Marino,SMR,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Sao Tome and Principe,STP,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Saudi Arabia,SAU,202945018593.049
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Senegal,SEN,11312124797.5991
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Serbia,SRB,39286990710.8845
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Seychelles,SYC,1169822777.1047
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Sierra Leone,SLE,1676020508.56281
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Singapore,SGP,609272720506.141
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Sint Maarten (Dutch part),SXM,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Slovak Republic,SVK,109565932794.719
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Slovenia,SVN,47725668510.1969
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Solomon Islands,SLB,619639879.951682
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Somalia,SOM,6544000009.83305
Imports of goods and services (current US$),NE.IMP.GNFS.CD,South Africa,ZAF,104855011188.356
Imports of goods and services (current US$),NE.IMP.GNFS.CD,South Sudan,SSD,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Spain,ESP,477434415488.364
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Sri Lanka,LKA,21527114445.3942
Imports of goods and services (current US$),NE.IMP.GNFS.CD,St. Kitts and Nevis,KNA,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,St. Lucia,LCA,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,St. Martin (French part),MAF,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,St. Vincent and the Grenadines,VCT,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Sudan,SDN,643989332.307692
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Suriname,SUR,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Sweden,SWE,261840323097.031
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Switzerland,CHE,476216881585.607
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Syrian Arab Republic,SYR,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Tajikistan,TJK,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Tanzania,TZA,11568526504.5038
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Thailand,THA,295718123281.974
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Timor-Leste,TLS,1313733031.5065
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Togo,TGO,2879433005.24209
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Tonga,TON,285502875.455463
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Trinidad and Tobago,TTO,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Tunisia,TUN,24382894972.267
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Turkiye,TUR,291018835668.444
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Turkmenistan,TKM,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Turks and Caicos Islands,TCA,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Tuvalu,TUV,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Uganda,UGA,10510437217.6143
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Ukraine,UKR,83781068818.6702
Imports of goods and services (current US$),NE.IMP.GNFS.CD,United Arab Emirates,ARE,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,United Kingdom,GBR,899365324620.777
Imports of goods and services (current US$),NE.IMP.GNFS.CD,United States,USA,3401361000000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Uruguay,URY,15021961839.773
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Uzbekistan,UZB,27794836636.6166
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Vanuatu,VUT,414462894.863068
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Venezuela, RB",VEN,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Vietnam,VNM,341154307726.533
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Virgin Islands (U.S.),VIR,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,West Bank and Gaza,PSE,10244900000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Yemen, Rep.",YEM,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Zambia,ZMB,7511102230.43685
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Zimbabwe,ZWE,8767062802.17298
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/30/2023,,,,
