Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kenya,KEN,11662731888.7572
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kiribati,KIR,26292067.3076923
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Korea, Dem. People's Rep.",PRK,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Korea, Rep.",KOR,761244269131.139
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kosovo,XKX,3144483737.43347
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kuwait,KWT,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kyrgyz Republic,KGZ,3358817496.99908
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Lao PDR,LAO,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Latvia,LVA,25295205509.1314
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Lebanon,LBN,6020232987.6393
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Lesotho,LSO,1081042804.84752
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Liberia,LBR,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Libya,LBY,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Liechtenstein,LIE,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Lithuania,LTU,53483244791.4333
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Luxembourg,LUX,180788786070.823
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Macao SAR, China",MAC,26484916619.8239
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Madagascar,MDG,3042228928.7682
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Malawi,MWI,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Malaysia,MYS,256755967465.547
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Maldives,MDV,4070267422.11843
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mali,MLI,5662920686.44712
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Malta,MLT,26174571259.6097
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Marshall Islands,MHL,120867309.570313
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mauritania,MRT,3943765753.55001
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mauritius,MUS,5077292820.46239
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mexico,MEX,522531999072.631
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Micronesia, Fed. Sts.",FSM,96300000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Moldova,MDA,4188570116.33804
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Monaco,MCO,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mongolia,MNG,8950038023.52629
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Montenegro,MNE,2510636385.14313
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Morocco,MAR,47048228291.7061
